ListingID,Neighbourhood,Walking time (mins),rank
15893648,Yau Tsim Mong,20.8,83.0
15922034,Yau Tsim Mong,21.6,87.0
15931953,Yau Tsim Mong,20.0,79.0
15934810,Yau Tsim Mong,7.2,15.0
15949865,Yau Tsim Mong,7.6,17.0
15956770,Yau Tsim Mong,38.0,168.0
15956982,Yau Tsim Mong,13.0,44.0
15960653,Yau Tsim Mong,21.2,85.0
15965744,Yau Tsim Mong,34.4,150.0
15980556,Yau Tsim Mong,13.6,47.0
15995938,Yau Tsim Mong,35.4,155.0
16005306,Yau Tsim Mong,37.2,164.0
16035688,Yau Tsim Mong,6.6,12.0
16036341,Yau Tsim Mong,34.4,150.0
16089050,Yau Tsim Mong,35.6,156.0
16090914,Yau Tsim Mong,5.6,7.0
16091122,Yau Tsim Mong,6.6,12.0
16096355,Yau Tsim Mong,32.4,140.0
16104824,Yau Tsim Mong,7.4,16.0
16115257,Yau Tsim Mong,4.8,3.0
16126820,Yau Tsim Mong,7.0,14.0
16130794,Yau Tsim Mong,9.0,24.0
16141039,Yau Tsim Mong,19.6,77.0
16151515,Yau Tsim Mong,34.4,150.0
16178687,Yau Tsim Mong,23.6,97.0
16180498,Yau Tsim Mong,18.4,71.0
16221736,Yau Tsim Mong,47.2,207.0
16221843,Yau Tsim Mong,21.8,88.0
16222213,Yau Tsim Mong,24.4,101.0
16222331,Yau Tsim Mong,24.4,101.0
16222523,Yau Tsim Mong,24.4,101.0
16244857,Yau Tsim Mong,36.0,158.0
16248789,Yau Tsim Mong,34.6,151.0
16252584,Yau Tsim Mong,7.4,16.0
16260895,Yau Tsim Mong,18.2,70.0
16283294,Yau Tsim Mong,17.4,66.0
16290140,Yau Tsim Mong,15.8,58.0
16293825,Yau Tsim Mong,20.2,80.0
16294437,Yau Tsim Mong,33.0,143.0
16307768,Yau Tsim Mong,25.6,107.0
16335850,Yau Tsim Mong,5.6,7.0
16338987,Yau Tsim Mong,7.4,16.0
16353861,Yau Tsim Mong,7.4,16.0
16371611,Yau Tsim Mong,6.0,9.0
16390405,Yau Tsim Mong,30.2,129.0
16391067,Yau Tsim Mong,28.4,121.0
16391358,Yau Tsim Mong,30.4,130.0
16391680,Yau Tsim Mong,30.4,130.0
16397767,Yau Tsim Mong,22.2,90.0
16398028,Yau Tsim Mong,24.0,99.0
16400244,Yau Tsim Mong,19.2,75.0
16407993,Yau Tsim Mong,11.4,36.0
16429867,Yau Tsim Mong,30.2,129.0
16445446,Yau Tsim Mong,23.2,95.0
16461414,Yau Tsim Mong,23.4,96.0
16469059,Yau Tsim Mong,15.0,54.0
16484996,Yau Tsim Mong,18.6,72.0
16491517,Yau Tsim Mong,26.6,112.0
16493868,Yau Tsim Mong,22.6,92.0
16498756,Yau Tsim Mong,14.8,53.0
16507812,Yau Tsim Mong,19.6,77.0
16572519,Yau Tsim Mong,12.8,43.0
16591339,Yau Tsim Mong,7.0,14.0
16609528,Yau Tsim Mong,21.2,85.0
16609727,Yau Tsim Mong,21.4,86.0
16609929,Yau Tsim Mong,21.4,86.0
16610203,Yau Tsim Mong,15.6,57.0
16610604,Yau Tsim Mong,6.0,9.0
16610928,Yau Tsim Mong,5.4,6.0
16611108,Yau Tsim Mong,6.2,10.0
16657483,Yau Tsim Mong,7.0,14.0
16657911,Yau Tsim Mong,36.0,158.0
16661308,Yau Tsim Mong,35.6,156.0
16665885,Yau Tsim Mong,8.8,23.0
16670945,Yau Tsim Mong,31.4,135.0
16692878,Yau Tsim Mong,35.8,157.0
16711608,Yau Tsim Mong,8.8,23.0
16733455,Yau Tsim Mong,23.0,94.0
